FechaHora,CodigoPlanta,precio,cantidad,Fecha,cluster,numerador,denominador,phi
2025-05-07 00:00:00,ESMR,107.39,15000.0,2025-05-07,4,4944921.641957262,9889.843283914524,607.39
2025-05-07 23:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
2025-05-07 22:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
2025-05-07 21:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4906190.437454936,9812.380874909875,2629.06
2025-05-07 20:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4906190.437454936,9812.380874909875,2629.06
2025-05-07 19:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4812397.727005767,9624.795454011539,2629.0599999999995
2025-05-07 18:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4812397.727005767,9624.795454011539,2629.0599999999995
2025-05-07 17:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5061810.93013259,10123.621860265184,2629.06
2025-05-07 16:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4885620.954643768,9771.241909287539,2629.06
2025-05-07 15:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5030897.022999488,10061.794045998975,2629.06
2025-05-07 14:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5030897.022999488,10061.794045998975,2629.06
2025-05-07 13:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5030897.022999488,10061.794045998975,2629.06
2025-05-07 12:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5030897.022999488,10061.794045998975,2629.06
2025-05-07 11:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5030897.022999488,10061.794045998975,2629.06
2025-05-07 10:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5030897.022999488,10061.794045998975,2629.06
2025-05-07 09:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5265204.595524378,10530.409191048757,2629.06
2025-05-07 08:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5265204.595524378,10530.409191048757,2629.06
2025-05-07 07:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5265204.595524378,10530.409191048757,2629.06
2025-05-07 06:00:00,TDR1,2129.06,47000.0,2025-05-07,4,5265204.595524378,10530.409191048757,2629.06
2025-05-07 05:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
2025-05-07 04:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
2025-05-07 03:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
2025-05-07 02:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
2025-05-07 01:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
2025-05-07 00:00:00,TDR1,2129.06,47000.0,2025-05-07,4,4950900.421576246,9901.800843152492,2629.06
