FechaHora,CodigoPlanta,precio,cantidad,cantidad_pos,Fecha,cluster,EQpos,EdQb
2025-05-02 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,5235398.538596248,-3989.131123832494
2025-05-05 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,4222452.1746946145,-23305.240390156097
2025-05-05 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3980212.2723048264,-23305.240390156097
2025-05-05 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3816472.2723048264,-23305.240390156097
2025-05-05 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3746742.2723048264,-23305.240390156097
2025-05-05 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3955952.2723048264,-23305.240390156097
2025-05-05 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,4318006.083634801,-23305.240390156097
2025-05-05 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,4222422.003207772,-24828.775049779877
2025-05-05 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,4611958.883356308,-24828.775049779877
2025-05-05 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,4956820.323058207,-20581.5080231563
2025-05-05 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,5464627.410191604,-3772.688968396561
2025-05-05 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,5821994.10521761,-2991.23466723478
2025-05-05 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,6085664.10521761,-2991.23466723478
2025-05-05 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,11047749.744916363,-706.166733990917
2025-05-05 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,10102755.533613931,-6083.378085105463
2025-05-05 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,6001143.325711563,-507.7929650061812
2025-05-05 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,5258685.022771636,-2991.23466723478
2025-05-06 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,4563765.560166844,-19368.641112571804
2025-05-06 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,4302826.481054694,-23444.457773392693
2025-05-06 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,4109596.4810546944,-23444.457773392693
2025-05-06 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,4019296.4810546944,-23444.457773392693
2025-05-06 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,4185076.4810546944,-23444.457773392693
2025-05-06 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,4606715.560166844,-19368.641112571804
2025-05-06 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,4722537.052409252,-20545.63248098123
2025-05-06 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,5423713.05777197,-3265.89172082983
2025-05-06 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,5909655.255412443,-495.30949691397564
2025-05-06 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,6138045.255412443,-495.30949691397564
2025-05-06 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,9825245.533613931,-6083.378085105463
2025-05-06 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,10019580.999867512,-8577.393869224417
2025-05-06 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,9964840.999867512,-8577.393869224417
2025-05-06 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,10020269.254423246,-5422.449734621067
2025-05-06 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,10274330.131337598,-116.0307057463187
2025-05-06 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,10319930.131337598,-116.0307057463187
2025-05-06 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,10289012.715181349,-116.0307057463187
2025-05-06 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,10028249.254423246,-5422.449734621067
2025-05-06 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,11108214.805893634,-1615.3978657659104
2025-05-06 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,11226385.084936522,-0.0021533775503815504
2025-05-06 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,11097054.805893634,-1615.3978657659104
2025-05-06 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,10036890.999867512,-8577.393869224417
2025-05-06 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,6065414.005007041,-495.30949691397564
2025-05-06 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,5336520.320055759,-2980.1718389415933
2025-05-07 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,4850722.0444724485,-3408.1143309241643
2025-05-07 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,4570472.0444724485,-3408.1143309241643
2025-05-07 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,4219485.16180118,-19484.466876612532
2025-05-07 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,4147878.0626109773,-23585.659646938133
2025-05-07 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,4304665.16180118,-19484.466876612532
2025-05-07 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,4960802.654115398,-2975.699202094612
2025-05-07 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,4965846.718604112,-3765.3716236534747
2025-05-07 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,5326588.044525328,-3297.536365673351
2025-05-07 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,5749623.467655603,-490.2759915952818
2025-05-07 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,5989123.467655603,-490.2759915952818
2025-05-07 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,6349377.48016331,-490.2759915952818
2025-05-07 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,10045859.511294719,-1604.8410519523663
2025-05-07 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,10040739.511294719,-1604.8410519523663
2025-05-07 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,10133008.549906084,-7100.355497441899
2025-05-07 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,10270767.222280758,-7885.801960259426
2025-05-07 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,10297602.542637607,-2592.4886175419256
2025-05-07 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,10185242.542637607,-2592.488617541925
2025-05-07 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,10026597.222280758,-7885.801960259426
2025-05-07 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,11063508.830633223,-7622.078261785167
2025-05-07 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,11191968.830633223,-7622.078261785167
2025-05-07 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,11039029.929638358,-0.004829065552937567
2025-05-07 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,9929742.542637607,-2592.4886175419256
2025-05-07 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,6091311.199520653,-490.2759915952818
2025-05-07 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,5513371.199520653,-490.2759915952818
2025-05-08 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,4545886.972192814,-22250.86697959154
2025-05-08 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,4240854.809719821,-26068.054264396425
2025-05-08 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,4088884.8097198214,-26068.054264396425
2025-05-08 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,4010154.8097198214,-26068.054264396425
2025-05-08 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,4186794.8097198214,-26068.054264396425
2025-05-08 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,4621096.972192814,-22250.86697959154
2025-05-08 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,4699156.192597477,-26512.747569569714
2025-05-08 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,5252217.671644461,-7510.335382028902
2025-05-08 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,5713174.587820761,-3751.1772546406346
2025-05-08 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,5951334.587820761,-3751.1772546406346
2025-05-08 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,6268159.39305689,-3751.1772546406346
2025-05-08 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,7310306.357685067,-3.5348482547503473e-35
2025-05-08 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,7231936.357685067,-3.5348482547503473e-35
2025-05-08 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,7306106.357685067,-3.5348482547503473e-35
2025-05-08 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,10234952.732726341,-1607.616049241005
2025-05-08 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,10269162.732726341,-1607.616049241005
2025-05-08 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,7477013.348495515,-3.5348482547503473e-35
2025-05-08 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,10120577.542362716,-1278.4218061433633
2025-05-08 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,11091614.684319459,-706.166733990917
2025-05-08 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,11265866.166352395,-1.3407758808648857e-53
2025-05-08 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,11028003.22980678,-1517.0406345492943
2025-05-08 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,10090269.266039899,-6809.838349835326
2025-05-08 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,6006143.099415882,-481.4130789211748
2025-05-08 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,5288037.854903905,-3162.6977546399676
2025-05-09 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4829427.032671069,-3412.518999472867
2025-05-09 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4367280.215809232,-19486.511282544714
2025-05-09 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4106155.7578304308,-26037.52740139151
2025-05-09 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4010095.7578304308,-26037.52740139151
2025-05-09 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4178445.7578304308,-26037.52740139151
2025-05-09 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4585905.259350445,-22215.906822207296
2025-05-09 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4474637.1444624625,-26002.839461390413
2025-05-09 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,4835934.204886559,-21672.864515723282
2025-05-09 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,5408960.719151016,-4426.172883319016
2025-05-09 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,5671438.679452305,-3948.595045501103
2025-05-09 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,6138101.394703211,-1045.8424515087252
2025-05-09 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,6393251.394703211,-1045.8424515087252
2025-05-09 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,6325661.394703211,-1045.8424515087252
2025-05-09 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,6364461.394703211,-1045.8424515087252
2025-05-09 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,6578311.394703211,-1045.8424515087252
2025-05-09 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,6618201.394703211,-1045.8424515087252
2025-05-09 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,6525521.394703211,-1045.8424515087252
2025-05-09 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,10028979.146596551,-1665.9965792629907
2025-05-09 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,10927726.475159105,-1517.0406345492943
2025-05-09 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,11061926.475159105,-1517.0406345492943
2025-05-09 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,10777538.440131161,-16.16295372569342
2025-05-09 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,10017309.146596551,-1665.9965792629907
2025-05-09 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,5953926.186652042,-2530.4449790727494
2025-05-09 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,5391789.750468818,-2530.4449790727494
2025-05-12 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,4241506.75254044,-19715.67071145286
2025-05-12 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3996747.4544779714,-24031.605896058572
2025-05-12 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3820997.4544779714,-24031.605896058572
2025-05-12 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3789147.4544779714,-24031.605896058572
2025-05-12 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3995557.4544779714,-24031.605896058572
2025-05-12 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,4616837.31314031,-3777.7776186325345
2025-05-12 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,4345559.65341375,-25318.59774056534
2025-05-12 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,4780292.95442645,-21042.14733472973
2025-05-12 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,5412463.0010887645,-4135.034911361846
2025-05-12 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,5713181.434500747,-3688.471317707511
2025-05-12 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,6147336.382732894,-1067.2911051646286
2025-05-12 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,6369476.382732894,-1067.2911051646286
2025-05-12 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,6381406.382732894,-1067.2911051646286
2025-05-12 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,6430966.382732894,-1067.2911051646286
2025-05-12 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,7382241.591431636,-2.2104649294674678e-35
2025-05-12 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,7437202.814205152,-2.2104649294674678e-35
2025-05-12 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,6590469.692007213,-1067.2911051646286
2025-05-12 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,6433360.256989106,-1067.2911051646286
2025-05-12 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,10967053.553159446,-0.017994345410811123
2025-05-12 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,11105163.553159446,-0.017994345410811123
2025-05-12 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,10871568.177683173,-175.5011971127776
2025-05-12 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,9895194.52804526,-7840.310015946115
2025-05-12 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,5961423.710570567,-1067.2911051646286
2025-05-12 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,5258496.02879549,-3366.6341541287707
2025-05-13 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,4825679.382240577,-19275.757593552284
2025-05-13 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,4568199.382240577,-19275.757593552284
2025-05-13 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,4373469.382240577,-19275.757593552284
2025-05-13 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,4291629.382240577,-19275.757593552284
2025-05-13 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,4463659.382240577,-19275.757593552284
2025-05-13 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,4897999.382240577,-19275.757593552284
2025-05-13 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,4951668.606031608,-19275.757593552284
2025-05-13 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,5281074.525374634,-19275.757593552284
2025-05-13 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,6264767.280427469,-2.740031509007781e-35
2025-05-13 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,6490897.280427469,-2.740031509007781e-35
2025-05-13 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,6797009.144625168,-2.740031509007781e-35
2025-05-13 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,7089419.144625168,-2.740031509007781e-35
2025-05-13 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,7044919.144625168,-2.740031509007781e-35
2025-05-13 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,7105489.144625168,-2.740031509007781e-35
2025-05-13 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,10220845.925205935,-1663.2215552755085
2025-05-13 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,10264205.925205935,-1663.2215552755085
2025-05-13 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,10204905.925205935,-1663.2215552755085
2025-05-13 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,7135975.766109651,-2.740031509007781e-35
2025-05-13 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-13,12,10788496.361873468,-2625.046675841032
