CodigoVariable;Fecha;CodigoDuracion;UnidadMedida;CodigoPlanta;Configuracion;Valor
POF_Declarado;18/04/2025;PT1D;COP/kWh;TSR1;12;1495.6
POF_Declarado;18/04/2025;PT1D;COP/kWh;TSR1;11;1526.3
POF_Declarado;18/04/2025;PT1D;COP/kWh;TSR1;9;983.67
POF_Declarado;18/04/2025;PT1D;COP/kWh;TSR1;10;1195.68
POF_Declarado;18/04/2025;PT1D;COP/kWh;TSR1;4;1253.99
POF_Declarado;18/04/2025;PT1D;COP/kWh;PES1;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;PLYS;0;103.76
POF_Declarado;18/04/2025;PT1D;COP/kWh;QUI1;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;PRG1;0;947.67
POF_Declarado;18/04/2025;PT1D;COP/kWh;TPUY;0;94.3
POF_Declarado;18/04/2025;PT1D;COP/kWh;3DDT;0;100
POF_Declarado;18/04/2025;PT1D;COP/kWh;TFL1;1;1429.17
POF_Declarado;18/04/2025;PT1D;COP/kWh;GVIO;0;155
POF_Declarado;18/04/2025;PT1D;COP/kWh;TYP5;0;94.5
POF_Declarado;18/04/2025;PT1D;COP/kWh;TEC1;1;1414.93
POF_Declarado;18/04/2025;PT1D;COP/kWh;TEC1;2;1414.93
POF_Declarado;18/04/2025;PT1D;COP/kWh;TCBE;0;935
POF_Declarado;18/04/2025;PT1D;COP/kWh;PPA1;0;290.61
POF_Declarado;18/04/2025;PT1D;COP/kWh;DVS1;0;105
POF_Declarado;18/04/2025;PT1D;COP/kWh;ZPA3;0;344
POF_Declarado;18/04/2025;PT1D;COP/kWh;LTSJ;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;3INX;0;90
POF_Declarado;18/04/2025;PT1D;COP/kWh;TRM1;5;2595.98
POF_Declarado;18/04/2025;PT1D;COP/kWh;TRM1;4;1958.64
POF_Declarado;18/04/2025;PT1D;COP/kWh;TRM1;3;2596.18
POF_Declarado;18/04/2025;PT1D;COP/kWh;TRM1;2;2202.67
POF_Declarado;18/04/2025;PT1D;COP/kWh;TRM1;1;1934.43
POF_Declarado;18/04/2025;PT1D;COP/kWh;PPA4;0;274.27
POF_Declarado;18/04/2025;PT1D;COP/kWh;CUC1;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;MRL1;0;1020.76
POF_Declarado;18/04/2025;PT1D;COP/kWh;PPA3;0;278.16
POF_Declarado;18/04/2025;PT1D;COP/kWh;PRDO;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;HMIN;0;87
POF_Declarado;18/04/2025;PT1D;COP/kWh;TGJ2;0;525.27
POF_Declarado;18/04/2025;PT1D;COP/kWh;CLL1;0;87
POF_Declarado;18/04/2025;PT1D;COP/kWh;GTPE;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;TSJ2;0;319
POF_Declarado;18/04/2025;PT1D;COP/kWh;TGJ1;0;542.84
POF_Declarado;18/04/2025;PT1D;COP/kWh;JAGS;0;158
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBQ3;0;1434.68
POF_Declarado;18/04/2025;PT1D;COP/kWh;ZPA2;0;371
POF_Declarado;21/08/2025;PT1D;COP/kWh;URA1;0;97
POF_Declarado;21/08/2025;PT1D;COP/kWh;ZPA3;0;348
POF_Declarado;21/08/2025;PT1D;COP/kWh;TFL4;3;1035.7
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;4;817.75
POF_Declarado;21/08/2025;PT1D;COP/kWh;TRM1;1;1934.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;GVIO;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;TDR1;0;2214.75
POF_Declarado;21/08/2025;PT1D;COP/kWh;TSR1;5;1151.45
POF_Declarado;21/08/2025;PT1D;COP/kWh;PRDO;0;100
POF_Declarado;21/08/2025;PT1D;COP/kWh;TCDT;3;738.21
POF_Declarado;21/08/2025;PT1D;COP/kWh;TSJ1;0;287
POF_Declarado;21/08/2025;PT1D;COP/kWh;TEC1;2;1486.46
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;6;862.06
POF_Declarado;21/08/2025;PT1D;COP/kWh;TYP4;0;898
POF_Declarado;21/08/2025;PT1D;COP/kWh;PLYS;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;3;1851.29
POF_Declarado;21/08/2025;PT1D;COP/kWh;ZPA4;0;362
POF_Declarado;21/08/2025;PT1D;COP/kWh;TRN1;0;942
POF_Declarado;21/08/2025;PT1D;COP/kWh;3IQA;0;85.09
POF_Declarado;21/08/2025;PT1D;COP/kWh;PPA1;0;281.33
POF_Declarado;21/08/2025;PT1D;COP/kWh;3HF5;0;93.98
POF_Declarado;21/08/2025;PT1D;COP/kWh;MATA;0;87
POF_Declarado;21/08/2025;PT1D;COP/kWh;TFL4;2;1009.72
POF_Declarado;21/08/2025;PT1D;COP/kWh;PRC2;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;MRL1;0;947.71
POF_Declarado;21/08/2025;PT1D;COP/kWh;PPA3;0;269.72
POF_Declarado;21/08/2025;PT1D;COP/kWh;PGUG;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;ESMR;0;103.56
POF_Declarado;21/08/2025;PT1D;COP/kWh;JAGS;0;140
POF_Declarado;21/08/2025;PT1D;COP/kWh;3IRX;0;86
POF_Declarado;21/08/2025;PT1D;COP/kWh;TVL1;2;1184.54
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;5;1711.12
POF_Declarado;21/08/2025;PT1D;COP/kWh;HMIN;0;89
POF_Declarado;21/08/2025;PT1D;COP/kWh;SNFR;0;103.56
POF_Declarado;21/08/2025;PT1D;COP/kWh;TVL1;4;1500
