FechaHora,CodigoPlanta,precio,cantidad,cantidad_pos,Fecha,cluster,gamma_thumb_ot,gamma_thumb,EQpos,EdQb
2025-05-02 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-378.2560938252363
2025-05-02 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-376.7170409799571
2025-05-02 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-376.7170409799571
2025-05-02 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-379.23101081330793
2025-05-02 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-280.08585319510945
2025-05-02 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-280.88749923378896
2025-05-02 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-281.1677730860721
2025-05-02 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-378.215122325919
2025-05-02 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-372.08593140786957
2025-05-02 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-02,1,3.7612735910422055,170.07264776873248,35000.0,-372.7110378665519
2025-05-05 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-387.48151479981334
2025-05-05 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-387.48151479981334
2025-05-05 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-387.48151479981334
2025-05-05 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-387.48151479981334
2025-05-05 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-387.48151479981334
2025-05-05 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-387.4815147998133
2025-05-05 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-389.5754246780862
2025-05-05 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-389.5754246780862
2025-05-05 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-389.00776591743
2025-05-05 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-386.83439198267797
2025-05-05 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-386.7556833818445
2025-05-05 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-386.7556833818445
2025-05-05 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-263.78729847158337
2025-05-05 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-300.0275200729228
2025-05-05 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-384.163990466952
2025-05-05 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-05,4,3.7612735910422055,170.07264776873248,35000.0,-384.714982843409
2025-05-06 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-380.3937894751803
2025-05-06 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-380.9582328908142
2025-05-06 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-380.9582328908142
2025-05-06 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-380.9582328908142
2025-05-06 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-380.9582328908142
2025-05-06 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-380.3937894751803
2025-05-06 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-377.33861436046226
2025-05-06 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-375.07778611466256
2025-05-06 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-374.512436661825
2025-05-06 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-374.512436661825
2025-05-06 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-286.59525195261955
2025-05-06 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-278.6543483907542
2025-05-06 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-278.6543483907542
2025-05-06 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-273.3664790351929
2025-05-06 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-270.11072500418277
2025-05-06 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-270.11072500418277
2025-05-06 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-270.11072500418277
2025-05-06 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-273.3664790351929
2025-05-06 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-164.12829195926085
2025-05-06 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-155.35253667419542
2025-05-06 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-164.12829195926085
2025-05-06 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-279.58011049068296
2025-05-06 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-378.6487040181424
2025-05-06 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-06,11,3.7612735910422055,170.07264776873248,35000.0,-379.20367572292474
2025-05-07 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-375.3823014214736
2025-05-07 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-375.3823014214736
2025-05-07 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-377.54324886104996
2025-05-07 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-378.1078151318515
2025-05-07 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-377.54324886104996
2025-05-07 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-375.31518047037616
2025-05-07 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-375.39471461579495
2025-05-07 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-375.3263523456322
2025-05-07 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-374.76058641643556
2025-05-07 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-374.76058641643556
2025-05-07 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-369.1555477981991
2025-05-07 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-293.3167106994149
2025-05-07 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-293.3167106994149
2025-05-07 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-283.94983636670753
2025-05-07 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-272.450571910842
2025-05-07 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-270.32182988394067
2025-05-07 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-278.7874320623085
2025-05-07 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-280.899849495689
2025-05-07 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-134.6002994173373
2025-05-07 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-134.6002994173373
2025-05-07 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-158.50675765014208
2025-05-07 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-276.55691689269014
2025-05-07 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-374.7605864164355
2025-05-07 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-07,14,3.7612735910422055,170.07264776873248,35000.0,-374.7605864164355
2025-05-08 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-396.5627237511363
2025-05-08 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-397.1303324292003
2025-05-08 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-397.1303324292003
2025-05-08 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-397.1303324292003
2025-05-08 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-397.1303324292003
2025-05-08 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-396.5627237511363
2025-05-08 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-392.3920586926231
2025-05-08 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-389.6188947824711
2025-05-08 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-388.9529988684695
2025-05-08 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-388.9529988684695
2025-05-08 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-388.9529988684695
2025-05-08 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-386.6068298636851
2025-05-08 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-386.6068298636851
2025-05-08 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-386.6068298636851
2025-05-08 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-312.73232841120654
2025-05-08 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-312.73232841120654
2025-05-08 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-388.2094157857005
2025-05-08 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-314.1675904799953
2025-05-08 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-269.3979705519806
2025-05-08 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-254.4806031323188
2025-05-08 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-274.74082557729037
2025-05-08 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-307.10608861059137
2025-05-08 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-385.6891310021989
2025-05-08 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-08,8,3.7612735910422055,170.07264776873248,35000.0,-386.2375492387682
2025-05-09 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-393.4480353019047
2025-05-09 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-395.6126444783609
2025-05-09 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-394.7057741907773
2025-05-09 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-394.7057741907773
2025-05-09 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-394.7057741907773
2025-05-09 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-394.1384984304574
2025-05-09 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-427.6527728009892
2025-05-09 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-427.0669440164063
2025-05-09 08:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.8219501745543
2025-05-09 09:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.75202112967094
2025-05-09 10:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.1721352301704
2025-05-09 11:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.1721352301704
2025-05-09 12:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.1721352301704
2025-05-09 13:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.1721352301704
2025-05-09 14:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.1721352301704
2025-05-09 15:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.1721352301704
2025-05-09 16:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-424.1721352301704
2025-05-09 17:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-343.20153333570914
2025-05-09 18:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-271.98472298932006
2025-05-09 19:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-271.98472298932006
2025-05-09 20:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-289.77398211510376
2025-05-09 21:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-312.6188583987583
2025-05-09 22:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-391.2916133166678
2025-05-09 23:00:00,2QEK,102.64,35000.0,35000.0,2025-05-09,1,3.7612735910422055,170.07264776873248,35000.0,-391.2916133166678
2025-05-12 00:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-392.99809191786426
2025-05-12 01:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-393.5870565111653
2025-05-12 02:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-393.5870565111653
2025-05-12 03:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-393.5870565111653
2025-05-12 04:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-393.5870565111653
2025-05-12 05:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-390.7748688940639
2025-05-12 06:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-395.27157942345906
2025-05-12 07:00:00,2QEK,102.64,35000.0,35000.0,2025-05-12,5,3.7612735910422055,170.07264776873248,35000.0,-394.69713629707877
