Ofertas Iniciales para: 2025-09-30


AGENTE: 4E S.A.S E.S.P.
PARQUESOLARARENAL1 , D, 0, 0, 0, 0, 0, 0, 0.3, 0.7, 0.7, 1.2, 1.4, 1.6, 1.8, 1.6, 1.4, 1.2, 0.7, 0.3, 0, 0, 0, 0, 0, 0
PARQUESOLARARENAL1 , INVD, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9


AGENTE: ABO WIND DIECISEIS
CONDOR1 , D, 0, 0, 0, 0, 0, 0, 2.85, 8.04, 9.08, 8.3, 9.31, 9.11, 9.31, 9.5, 8.37, 8.18, 5.7, 0.88, 0, 0, 0, 0, 0, 0
CONDOR1 , INVD, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35


AGENTE: AES COLOMBIA
BIOENERGY1 , D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CHIVOR , P, 96056
CHIVOR1 , D, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125
CHIVOR2 , D, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125
CHIVOR3 , D, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125
CHIVOR4 , D, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125, 125
CHIVOR5 , D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CHIVOR6 , D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CHIVOR7 , D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CHIVOR8 , D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CHIVOR1 , AGCU, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CHIVOR2 , AGCU, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
