FechaHora,CodigoPlanta,precio,cantidad,Fecha,cluster,EQpos,EdQb
2025-05-05 17:00:00,3DDT,99.19,3127.73,2025-05-05,3,9744290.533832705,178350.8224293456
2025-05-06 06:00:00,3DDT,99.19,8000.0,2025-05-06,9,8203676.620253835,-181983.5642783368
2025-05-06 07:00:00,3DDT,99.19,27000.0,2025-05-06,9,8521390.615028776,-154636.3424024139
2025-05-06 08:00:00,3DDT,99.19,45000.0,2025-05-06,9,8893147.665583955,180692.63143685964
2025-05-06 09:00:00,3DDT,99.19,74407.26,2025-05-06,9,9121537.665583955,180692.63143685964
2025-05-06 10:00:00,3DDT,99.19,83438.58,2025-05-06,9,9451242.470820084,180692.6314368596
2025-05-06 11:00:00,3DDT,99.19,64159.26,2025-05-06,9,10123161.795281895,7.367928774048342
2025-05-06 12:00:00,3DDT,99.19,83000.0,2025-05-06,9,10068421.795281895,7.367928774048342
2025-05-06 13:00:00,3DDT,99.19,45000.0,2025-05-06,9,10159071.547077848,224.76779970201483
2025-05-06 14:00:00,3DDT,99.19,38000.0,2025-05-06,9,10351529.718477588,0.0001327102456655896
2025-05-06 15:00:00,3DDT,99.19,32000.0,2025-05-06,9,10397129.718477588,0.0001327102456655896
2025-05-06 16:00:00,3DDT,99.19,40000.0,2025-05-06,9,10313339.718497634,3.009658318638905e-16
2025-05-06 17:00:00,3DDT,99.19,8211.06,2025-05-06,9,10167521.795281895,7.367928774048342
2025-05-05 00:00:00,3ENA,849.04,200000.0,2025-05-05,3,4753251.199027782,-55049.39646215235
2025-05-05 01:00:00,3ENA,849.04,200000.0,2025-05-05,3,4510581.199029503,-55049.39647291591
2025-05-05 02:00:00,3ENA,849.04,200000.0,2025-05-05,3,4346841.199029503,-55049.39647291591
2025-05-05 03:00:00,3ENA,849.04,200000.0,2025-05-05,3,4277111.199029503,-55049.39647291591
2025-05-05 04:00:00,3ENA,849.04,200000.0,2025-05-05,3,4486321.199029503,-55049.39647291591
2025-05-05 05:00:00,3ENA,849.04,200000.0,2025-05-05,3,4898414.085010541,-55049.39647984407
2025-05-05 06:00:00,3ENA,849.04,200000.0,2025-05-05,3,4965118.66112276,-54225.474863990814
2025-05-05 07:00:00,3ENA,849.04,200000.0,2025-05-05,3,5346371.547102688,-54225.474863990814
2025-05-05 08:00:00,3ENA,849.04,200000.0,2025-05-05,3,6504442.061923634,1929063.4208905061
2025-05-05 09:00:00,3ENA,849.04,200000.0,2025-05-05,3,8991101.204656413,-183237.09538654535
2025-05-05 10:00:00,3ENA,849.04,200000.0,2025-05-05,3,9306478.486555936,-134568.26033104284
2025-05-05 11:00:00,3ENA,849.04,200000.0,2025-05-05,3,9570148.486555936,-134568.26033104284
2025-05-05 12:00:00,3ENA,849.04,200000.0,2025-05-05,3,9641190.533832705,178350.82242934595
2025-05-05 13:00:00,3ENA,849.04,200000.0,2025-05-05,3,9722610.533832705,178350.82242934595
2025-05-05 14:00:00,3ENA,849.04,200000.0,2025-05-05,3,9961190.533832705,178350.82242934595
2025-05-05 15:00:00,3ENA,849.04,200000.0,2025-05-05,3,10008680.533832705,178350.82242934595
2025-05-05 16:00:00,3ENA,849.04,200000.0,2025-05-05,3,9918200.533832705,178350.82242934595
2025-05-05 17:00:00,3ENA,849.04,200000.0,2025-05-05,3,9744290.533832705,178350.82242934607
2025-05-05 18:00:00,3ENA,849.04,200000.0,2025-05-05,3,11008329.718477588,0.0001327102456655896
2025-05-05 19:00:00,3ENA,849.04,200000.0,2025-05-05,3,11230216.63633471,4.378622820752644e-26
2025-05-05 20:00:00,3ENA,849.04,200000.0,2025-05-05,3,11041579.812331757,-1.6226661041612736e-26
2025-05-05 21:00:00,3ENA,849.04,200000.0,2025-05-05,3,10169354.612860741,1886.7650908715643
2025-05-05 22:00:00,3ENA,849.04,200000.0,2025-05-05,3,9115392.1181275,178343.29702906348
2025-05-05 23:00:00,3ENA,849.04,200000.0,2025-05-05,3,8486781.978352472,-161922.51201659362
2025-05-06 00:00:00,3ENA,849.04,200000.0,2025-05-06,9,5929744.21709374,1859616.3663171027
2025-05-06 01:00:00,3ENA,849.04,200000.0,2025-05-06,9,4881694.269705928,-55058.679843054924
2025-05-06 02:00:00,3ENA,849.04,200000.0,2025-05-06,9,4688464.269705928,-55058.679843054924
2025-05-06 03:00:00,3ENA,849.04,200000.0,2025-05-06,9,4598164.269705928,-55058.679843054924
