FechaHora,precio,demanda
2025-07-24 12:00:00,111.71,10755110
2025-07-24 13:00:00,114.71,10892010
2025-07-24 14:00:00,115.71,11163830
2025-07-24 15:00:00,186.71,11028020
2025-07-24 16:00:00,186.71,10875250
2025-07-24 17:00:00,144.71,10653960
2025-07-24 18:00:00,186.71,11580980
2025-07-24 19:00:00,820.57,11771740
2025-07-24 20:00:00,289.71,11621360
2025-07-24 21:00:00,186.71,10695690
2025-07-24 22:00:00,115.71,10111480
2025-07-24 23:00:00,114.71,9495830
2025-07-24 00:00:00,106.09,8975940
2025-07-24 01:00:00,106.09,8670300
2025-07-24 02:00:00,106.09,8479780
2025-07-24 03:00:00,106.09,8375590
2025-07-24 04:00:00,106.41,8497020
2025-07-24 05:00:00,106.58,8912870
2025-07-24 06:00:00,106.58,9006300
2025-07-24 07:00:00,106.58,9354790
2025-07-24 08:00:00,106.58,9788460
2025-07-24 09:00:00,106.58,10090800
2025-07-24 10:00:00,111.61,10500850
2025-07-24 11:00:00,111.61,10793780
2025-07-24 12:00:00,111.61,10755110
2025-07-24 13:00:00,114.61,10892010
2025-07-24 14:00:00,115.61,11163830
2025-07-24 15:00:00,186.61,11028020
2025-07-24 16:00:00,186.61,10875250
2025-07-24 17:00:00,144.61,10653960
2025-07-24 18:00:00,186.61,11580980
2025-07-24 19:00:00,820.46,11771740
2025-07-24 20:00:00,289.61,11621360
2025-07-24 21:00:00,186.61,10695690
2025-07-24 22:00:00,115.61,10111480
2025-07-24 23:00:00,114.61,9495830
2025-07-24 00:00:00,111.85,8975940
2025-07-24 01:00:00,111.85,8670300
2025-07-24 02:00:00,111.85,8479780
2025-07-24 03:00:00,111.85,8375590
2025-07-24 04:00:00,112.17,8497020
2025-07-24 05:00:00,112.33,8912870
2025-07-24 06:00:00,112.33,9006300
2025-07-24 07:00:00,112.33,9354790
2025-07-24 08:00:00,112.33,9788460
2025-07-24 09:00:00,112.33,10090800
2025-07-24 10:00:00,112.33,10500850
2025-07-24 11:00:00,117.37,10793780
2025-07-24 12:00:00,117.37,10755110
2025-07-24 13:00:00,120.37,10892010
2025-07-24 14:00:00,121.37,11163830
2025-07-24 15:00:00,192.37,11028020
2025-07-24 16:00:00,192.37,10875250
2025-07-24 17:00:00,150.37,10653960
2025-07-24 18:00:00,192.37,11580980
2025-07-24 19:00:00,826.22,11771740
2025-07-24 20:00:00,295.37,11621360
2025-07-24 21:00:00,192.37,10695690
2025-07-24 22:00:00,121.37,10111480
2025-07-24 23:00:00,120.37,9495830
2025-07-24 00:00:00,106.09,8975940
2025-07-24 01:00:00,106.09,8670300
2025-07-24 02:00:00,106.09,8479780
2025-07-24 03:00:00,106.09,8375590
2025-07-24 04:00:00,106.41,8497020
2025-07-24 05:00:00,106.58,8912870
2025-07-24 06:00:00,106.58,9006300
2025-07-24 07:00:00,106.58,9354790
2025-07-24 08:00:00,106.58,9788460
2025-07-24 09:00:00,106.58,10090800
2025-07-24 10:00:00,111.61,10500850
2025-07-24 11:00:00,111.61,10793780
2025-07-24 12:00:00,111.61,10755110
2025-07-24 13:00:00,114.61,10892010
2025-07-24 14:00:00,115.61,11163830
2025-07-24 15:00:00,186.61,11028020
2025-07-24 16:00:00,186.61,10875250
2025-07-24 17:00:00,144.61,10653960
2025-07-24 18:00:00,186.61,11580980
2025-07-24 19:00:00,820.46,11771740
2025-07-24 20:00:00,289.61,11621360
